Student Candidate Number,Credits Taken,Credits Passed ,Raw Year Average,Progression Status,Notes,COMP101P,COMP102P,COMP103P,COMP104P,COMP105P,ECON6002,ENGS101P,ENGS102P,LCAR1001,LCFR6003,LCGE1001,LCJA1001,MATH6301,COMP1001,COMP1002,COMP1004,COMP1007,COMP1008,COMP1010
HCYK6,4.00,4.00,67.75,Pass Progress to next academic year,,77,71,68,42,69,,81,75,,,53,,59,,,,,,
HDBS0,4.00,4.00,69.75,Pass Progress to next academic year,,78,51,73,71,70,,73,78,48,,,,64,,,,,,
HDCB6,4.00,4.00,64.63,Pass Progress to next academic year,,51,59,62,67,66,,79,81,,,,,52,,,,,,
HDXK6,4.00,2.00,n/a,Resit in following year,"Please make an appointment with the Departmental Tutor, Dr Graham Roberts, via email graham.roberts@ucl.ac.uk",11,14,53,13,40,,76,61,,,,,11,,,,,,
HFPZ7,4.00,4.00,66.38,Pass Progress to next academic year,,58,59,74,44,73,,83,87,,,,,53,,,,,,
HFXB3,4.00,4.00,71.25,Pass Progress to next academic year,,72,60,88,66,62,,76,81,,,,,65,,,,,,
HGJR0,4.00,4.00,64.75,Pass Progress to next academic year,,73,73,53,79,43,,70,56,,,,,71,,,,,,
HGNR6,4.00,4.00,68.25,Pass Progress to next academic year,,50,56,75,68,80,,74,81,,,,,62,,,,,,
HHYB0,4.00,4.00,71.88,Pass Progress to next academic year,,81,69,72,56,80,,72,80,,,,,65,,,,,,
HJBF7,4.00,4.00,60.75,Pass Progress to next academic year,,,,,,,,,,,52,,,43,86,49,48,50,70,88
HJQK7,4.00,3.50,61.00,Pass Progress to next academic year,,57,57,63,59,84,,70,65,,,,,33,,,,,,
HKSZ9,4.00,3.00,49.63,Referral in current year (Aug/Sep) - this must be passed in order to progress,You will be emailed details of your referred assessment over the Summer,32,56,47,57,63,,39,55,,,33,,48,,,,,,
HKYN5,4.00,2.00,n/a,Resit in following year,"Please make an appointment with the Departmental Tutor, Dr Graham Roberts, via email graham.roberts@ucl.ac.uk",0,0,60,54,33,,80,72,,,,,0,,,,,,
HMQC2,4.00,4.00,60.13,Pass Progress to next academic year,,49,67,45,58,78,,75,57,,,,,52,,,,,,
HMXC5,4.00,4.00,71.00,Pass Progress to next academic year,,72,76,73,52,77,,81,81,,,,,56,,,,,,
HMZY1,4.00,3.00,52.13,Referral in current year (Aug/Sep) - this must be passed in order to progress,You will be emailed details of your referred assessment over the Summer,51,41,52,37,82,,79,75,,,,,0,,,,,,
HNBZ3,4.00,4.00,77.63,Pass Progress to next academic year,,89,68,78,66,64,,80,84,,,,,92,,,,,,
HNQL2,4.00,4.00,54.13,Pass Progress to next academic year,,42,51,59,53,40,,75,46,,,,,67,,,,,,
HQJC5,4.00,3.50,55.38,Pass Progress to next academic year,,54,31,40,49,80,,71,75,,,,,43,,,,,,
HRTJ7,4.00,4.00,77.00,Pass Progress to next academic year,,85,76,61,83,100,,79,81,,,,,51,,,,,,
HTLJ3,4.00,0.50,n/a,Resit in following year,"Please make an appointment with the Departmental Tutor, Dr Graham Roberts, via email graham.roberts@ucl.ac.uk",0,0,0,0,24,,70,0,,,,,0,,,,,,
HTPZ3,4.00,4.00,60.00,Pass Progress to next academic year,,46,57,58,62,55,,70,72,,,,,60,,,,,,
HVRZ9,4.00,3.50,63.00,Pass Progress to next academic year,,39,51,70,48,88,,69,70,,,,,69,,,,,,
